videoNumber,id,guestName,title,description,publishedAt,duration,viewCount,likeCount,dislikeCount,commentCount,tags
1520,j9NeQTkJjIs,Dr. Debra Soh,Joe Rogan Experience #1520 - Dr. Debra Soh,"Dr. Debra Soh is a former sex researcher, neuroscientist, columnist, and podcast host. Her new book The End of Gender: Debunking the Myths about Sex and Identity in Our Society is now available.",2020-08-05 19:00:07+00:00,0 days 02:01:53.000000000,1924624,33876,3070,12172,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party"
1519,yR-GXnXw2wU,Mike Baker,Joe Rogan Experience #1519 - Mike Baker,"Mike Baker is a former CIA covert operations officer. Currently he is the president of Diligence LLC, a global intelligence and security firm. His new show ""Black Files Declassified"" is now available on the Science Channel.",2020-08-04 19:00:22+00:00,0 days 02:44:50.000000000,3489298,39230,5645,13930,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party"
1518,j7T6__UbhBI,David Choe,Joe Rogan Experience #1518 - David Choe,"David Choe is an American painter, muralist, explorer, adventurer, podcaster, graffiti artist and graphic novelist from Los Angeles, CA.",2020-07-31 19:00:14+00:00,0 days 03:51:39.000000000,4655159,113037,4596,26722,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party"
1517,6adKh-LYk3s,Nancy Panza,Joe Rogan Experience #1517 - Nancy Panza,"Nancy Panza, Ph.D, is a Professor of Psychology at Cal State Fullerton. She has also worked within county, state, and federal facilities providing clinical and forensic services for juvenile and adult offenders and has provided services for police departments in New York City, Alabama, and Southern California.",2020-07-30 19:00:00+00:00,0 days 01:54:53.000000000,2045534,25488,2665,9062,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party"
1516,G42RJ4mKj1k,Post Malone,Joe Rogan Experience #1516 - Post Malone,"Post Malone is a singer-songwriter, rapper and record producer.  @Post Malone",2020-07-29 19:00:05+00:00,0 days 03:49:39.000000000,12849623,229177,10566,44499,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, JRE #1516, Post Malone, Joe Rogan, comedian"
1515,_kDKAOncclU,Dr. Bradley Garrett,Joe Rogan Experience #1515 - Dr. Bradley Garrett,"Dr. Bradley Garrett is an American social and cultural geographer at University College Dublin in Ireland and a writer for The Guardian newspaper in the United Kingdom. His new book ""Bunker: Building for the End Times"" is available August 4, 2020.",2020-07-28 19:00:10+00:00,0 days 02:42:31.000000000,2625311,30722,2701,8275,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Joe Rogan, JRE #1515, Dr. Bradley Garrett, urban exploration, preppers, underground bunker, comedian"
1514,wCSDF0RNuXY,Joe De Sena,Joe Rogan Experience #1514 - Joe De Sena,"Joe De Sena is the CEO and founder of Spartan and the Death Race. He is also a NY Times best selling author of Spartan Up, Spartan Fit and The Spartan Way. @Spartan Race",2020-07-24 19:00:10+00:00,0 days 02:29:14.000000000,2044091,27501,3069,6895,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Joe Rogan, Joe De Sena, Spartan Race, JRE #1514"
1513,gLJowTOkZVo,Andrew Huberman,Joe Rogan Experience #1513 - Andrew Huberman,"Andrew Huberman is a neuroscientist and tenured professor in the Department of Neurobiology at the Stanford University School of Medicine. He has made numerous important contributions to the fields of brain development, brain plasticity, and neural regeneration and repair.",2020-07-23 19:00:06+00:00,0 days 02:44:46.000000000,3713284,54002,2589,8153,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party"
1512,hl0iNRXcUbE,Ben Shapiro,Joe Rogan Experience #1512 - Ben Shapiro,"Ben Shapiro is editor-in-chief of the Daily Wire, syndicated columnist, and host of “The Ben Shapiro Show” is available on SoundCloud and iTunes. His new book How to Destroy America in Three Easy Steps is available now everywhere. @Ben Shapiro",2020-07-22 19:00:05+00:00,0 days 01:43:31.000000000,7774833,190114,20222,51436,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, JRE #1512, Joe Rogan, Ben Shapiro, comedian"
1511,QOrOYUxzX3o,Oliver Stone,Joe Rogan Experience #1511 - Oliver Stone,"Oliver Stone is an award-winning director, producer, screenwriter, and author. His memoir Chasing the Light is available on July 21, 2020. https://linktr.ee/OStone",2020-07-21 19:00:04+00:00,0 days 01:43:28.000000000,2884281,48589,2846,13091,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party"
